,Yr,Seas,FltSvy,Gender,Part,Nsamp,l20,l25,l30,l35,l40,l45,l50,l55,l60,l65,l70,l75,l80
1,1949,1,2,0,0,129,0,5,0,15,22,14,28,23,14,4,1,2,1
2,1950,1,2,0,0,73,0,1,0,7,10,15,20,11,3,3,3,0,0
3,1951,1,2,0,0,104,0,5,0,4,12,18,28,19,13,4,0,1,0
4,1952,1,2,0,0,54,0,2,0,5,5,8,16,9,5,3,1,0,0
5,1953,1,2,0,0,56,0,1,0,2,11,6,19,7,6,4,0,0,0
6,1954,1,2,0,0,49,0,1,0,0,7,7,10,16,6,2,0,0,0
7,1955,1,2,0,0,61,0,1,0,7,9,11,18,9,0,5,1,0,0
8,1956,1,2,0,0,56,0,2,0,7,4,9,14,11,5,3,1,0,0
9,1957,1,2,0,0,53,0,3,0,7,5,7,12,7,9,1,1,1,0
10,1958,1,2,0,0,84,0,0,0,12,5,15,26,16,6,2,1,1,0
11,1959,1,2,0,0,68,0,1,0,12,8,16,12,10,5,1,3,0,0
12,1960,1,2,0,0,47,0,0,0,7,4,18,8,6,2,0,2,0,0
13,1961,1,2,0,0,25,0,1,0,2,1,7,9,0,1,1,1,2,0
14,1962,1,2,0,0,23,0,0,0,8,0,3,6,4,1,1,0,0,0
15,1963,1,2,0,0,42,0,3,0,6,3,7,9,7,5,2,0,0,0
16,1964,1,2,0,0,50,0,3,0,6,2,8,18,6,2,1,3,0,1
17,1965,1,2,0,0,40,0,2,0,11,4,3,13,6,0,0,1,0,0
18,1966,1,2,0,0,42,0,0,0,6,1,7,9,9,6,2,2,0,0
19,1967,1,2,0,0,60,0,2,0,9,2,5,14,14,10,2,1,1,0
20,1968,1,2,0,0,58,0,1,0,9,1,10,9,14,7,2,4,0,1
21,1969,1,2,0,0,64,0,1,0,3,6,5,13,13,12,7,4,0,0
22,1970,1,2,0,0,59,0,1,0,5,4,6,10,13,14,2,1,2,1
23,1971,1,2,0,0,102,0,0,0,6,6,20,29,15,15,5,1,2,3
24,1972,1,2,0,0,140,0,0,0,9,12,24,42,24,19,3,3,4,0
25,1973,1,2,0,0,120,0,0,0,5,12,15,40,25,11,7,3,0,2
26,1974,1,2,0,0,128,0,3,0,9,8,12,31,37,16,8,3,0,1
27,1975,1,2,0,0,146,0,8,0,16,10,17,40,20,13,11,7,3,1
28,1976,1,2,0,0,157,0,7,0,13,16,24,26,39,19,6,4,2,1
29,1977,1,2,0,0,174,0,11,0,21,14,14,32,35,26,10,9,2,0
30,1978,1,2,0,0,164,0,20,0,15,16,11,38,30,15,9,7,3,0
31,1979,1,2,0,0,189,0,12,0,18,19,20,44,36,23,9,6,1,1
32,1980,1,2,0,0,220,0,12,0,21,23,24,46,48,25,15,4,2,0
33,1981,1,2,0,0,279,0,27,0,37,40,28,47,45,33,15,5,1,1
34,1982,1,2,0,0,351,0,23,0,37,49,30,73,67,38,17,13,3,1
35,1983,1,2,0,0,378,0,40,0,37,40,43,64,56,46,28,14,7,3
36,1984,1,2,0,0,492,0,24,0,88,51,63,84,60,62,34,20,4,2
37,1985,1,2,0,0,541,0,43,0,95,39,48,89,69,75,51,20,7,5
38,1986,1,2,0,0,514,0,57,0,89,80,46,72,86,48,18,13,4,1
39,1987,1,2,0,0,366,0,29,0,52,51,42,60,57,43,20,11,1,0
40,1988,1,2,0,0,533,0,45,0,71,77,68,72,71,57,43,21,8,0
41,1989,1,2,0,0,599,0,24,0,64,90,75,112,74,67,57,28,2,6
42,1990,1,2,0,0,588,0,19,0,59,58,78,131,84,79,52,23,5,0
43,1991,1,2,0,0,448,0,19,0,36,55,46,98,68,68,38,17,2,1
44,1992,1,2,0,0,473,0,22,0,63,62,73,99,58,49,29,11,7,0
45,1993,1,2,0,0,421,0,41,0,64,50,50,76,60,45,22,11,1,1
46,1994,1,2,0,0,480,0,33,0,64,68,56,100,49,58,32,16,4,0
47,1995,1,2,0,0,527,0,24,0,73,64,56,86,79,69,44,28,2,2
48,1996,1,2,0,0,560,0,26,0,89,91,76,102,64,57,44,10,1,0
49,1997,1,2,0,0,668,0,41,0,83,88,99,137,83,71,42,23,1,0
50,1998,1,2,0,0,662,0,35,0,80,75,73,126,102,89,52,17,12,1
51,1999,1,2,0,0,470,0,12,0,44,66,69,99,78,50,39,12,1,0
52,2000,1,2,0,0,594,0,19,0,75,72,76,116,107,64,37,25,3,0
53,2001,1,2,0,0,611,0,14,0,56,88,82,131,110,78,31,17,1,3
54,2002,1,2,0,0,466,0,20,0,37,71,64,105,76,49,26,15,3,0
55,2003,1,2,0,0,308,0,7,9,32,39,39,46,56,36,32,10,1,1
56,2004,1,2,0,0,232,1,15,14,32,22,33,44,27,22,17,4,0,1
57,2005,1,2,0,0,232,0,7,10,27,29,28,33,43,23,24,8,0,0
58,2006,1,2,0,0,203,0,3,5,18,26,33,35,45,28,6,4,0,0
59,2007,1,2,0,0,273,0,4,13,29,42,46,52,34,30,18,4,1,0
60,2008,1,2,0,0,290,0,6,12,24,39,52,53,49,34,12,6,3,0
61,2009,1,2,0,0,225,0,6,6,22,29,28,48,33,25,18,10,0,0
62,2010,1,2,0,0,256,0,5,8,26,51,43,38,26,39,15,2,3,0
63,2011,1,2,0,0,289,1,9,11,32,44,45,53,38,24,25,4,2,1
64,2012,1,2,0,0,264,1,4,12,37,51,46,28,28,27,19,11,0,0
65,2013,1,2,0,0,268,0,6,14,31,39,32,52,43,26,16,8,0,1
66,2014,1,2,0,0,277,0,10,9,29,49,35,55,40,26,14,8,2,0
67,2015,1,2,0,0,206,0,8,8,21,34,28,25,37,26,15,4,0,0
68,2016,1,2,0,0,159,0,5,6,18,26,18,19,30,27,9,1,0,0
69,2017,1,2,0,0,171,0,0,4,22,28,25,37,27,17,9,1,1,0
70,2018,1,2,0,0,206,0,0,5,23,41,32,35,33,30,3,3,1,0
71,2019,1,2,0,0,163,0,0,3,13,23,23,24,42,22,10,3,0,0
72,2020,1,2,0,0,212,0,3,5,38,25,29,38,35,26,10,3,0,0
73,2021,1,2,0,0,196,0,1,6,23,27,22,40,38,22,10,7,0,0
74,2022,1,2,0,0,267,0,1,10,47,56,37,33,38,27,15,0,2,1
75,2023,1,2,0,0,44,0,0,1,7,8,7,4,9,2,4,2,0,0
